,Type Of Dwelling,General Zone Classification,Linear Feet of Street,Plot size in square feet,Type of road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to various conditions,Overall Rating(Material & Finishing),Rating Overall Condition of house,Original construction date,Remodel date of property,Type of Roof,Material used in Roof,Exterior Covering on the House,Evaluation of Quality of material on Exterior,Evaluation present condition of material on Exterior,Type of Foundation,Evaluation of hight of basement,Evaluation of condition of Basement,Exposure Walkout or garden-level walls,Basement Finished area rating,Finished square feet area in basement,"Basement Finished area rating,if multiple types","Finished square feet area in basement,type 2",Unfinished Basement area in square feet,Total Basement area in square feet,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical System,Area of 1st Floor in Square Feet,Area of 2nd Floor in Square Feet,Total living area in square feet,Full Bathrooms,Half Bathrooms,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(Excluded Bathrooms),Number of Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Car Parking capacity in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Fence Quality,Miscellaneous features,Value of miscellaneous feature in Dollars,Month and Year of sold,Type of Sale,Condition of Sale,Sale Price,Price per square foot of property(in $),Age of Property when sold(in years)
886,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,70,8393,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Average,Average,1959,2005,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,528,Unfinished,0,1098,1626,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1712,0,1712,2,0,4,2,Average/Typical,8,0,No Fireplace,Attached to the home,2005,Finished,2,588,Typical/Average,Typical/Average,Paved,272,54,0,0,0,No Fence,No Extra Feature,0,June 2006,Warranty Deed - Conventional,Sale between family members,145000,17.276301679971404,47
887,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,59,16466,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,Normal,Average,Good,1955,1955,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Good,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,816,816,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,872,521,1393,1,1,3,1,Average/Typical,8,0,No Fireplace,Attached to the home,1955,Unfinished,1,300,Typical/Average,Typical/Average,Paved,121,0,0,0,265,No Fence,No Extra Feature,0,April 2008,Warranty Deed - Conventional,Normal Sale,135500,8.229078100327948,53
888,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,95,15865,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Moderate Slope,North Ames,Normal,Very Good,Above Average,1970,1970,Flat,Gravel & Tar,Wood Siding,Good,Good,Poured Contrete,Good (90-99 inches),Good,Good Exposure,Average Living Quarters,351,Average Rec Room,823,1043,2217,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2217,0,2217,2,0,4,1,Good,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1970,Unfinished,2,621,Typical/Average,Typical/Average,Paved,81,207,0,0,224,No Fence,No Extra Feature,0,October 2007,Warranty Deed - Conventional,Normal Sale,268000,16.89253072801765,37
889,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,128,12160,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Adjacent to feeder street & Normal,Above Average,Below Average,1953,1953,Hip,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,1024,Unfinished,0,481,1505,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1505,0,1505,1,0,2,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1953,Rough Finished,2,505,Typical/Average,Typical/Average,Paved,0,0,0,162,0,No Fence,No Extra Feature,0,February 2009,Warranty Deed - Conventional,Normal Sale,149500,12.294407894736842,56
890,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,8064,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Adjacent to arterial street & Normal,Average,Good,1949,2006,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Unfinished,0,Unfinished,0,672,672,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,672,252,924,1,0,3,1,Average/Typical,6,1,Poor - Ben Franklin Stove,Detached from home,2003,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Minimum Privacy,Shed (over 100 Square Feet),2000,July 2007,Warranty Deed - Conventional,Normal Sale,122900,15.240575396825397,58
891,2-STORY 1946 & NEWER,Residential Low-Density,70,11184,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Above Average,Average,1978,1978,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,226,Average Rec Room,500,192,918,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,918,765,1683,2,1,3,1,Average/Typical,7,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1978,Rough Finished,2,440,Typical/Average,Typical/Average,Paved,243,0,0,0,0,No Fence,No Extra Feature,0,July 2009,Warranty Deed - Conventional,Normal Sale,172500,15.42381974248927,31
892,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,8414,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Above Average,Very Good,1963,2003,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,663,Unfinished,0,396,1059,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1068,0,1068,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1963,Rough Finished,1,264,Typical/Average,Typical/Average,Paved,192,0,0,0,0,Minimum Privacy,No Extra Feature,0,February 2006,Warranty Deed - Conventional,Normal Sale,154500,18.36225338721179,43
893,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,13284,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,"Near positive off-site feature--park, greenbelt, etc & Normal",Average,Average,1954,1954,Gable,Standard (Composite) Shingle,Wood Siding & Plywood,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,1064,Unfinished,0,319,1383,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1383,0,1383,1,0,3,1,Average/Typical,6,1,Good - Masonry Fireplace on the main level,Attached to the home,1954,Unfinished,1,354,Typical/Average,Typical/Average,Paved,511,116,0,0,0,Good Privacy,No Extra Feature,0,June 2008,Warranty Deed - Conventional,Normal Sale,165000,12.420957542908763,54
894,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,64,7018,Paved,No Alley Access,Regular,Banked,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Normal,Average,Average,1979,1979,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Exposure,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1535,0,1535,2,0,4,2,Average/Typical,8,0,No Fireplace,Attached to the home,1979,Unfinished,2,400,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Allocation - two linked properties with separate deeds,118858,16.936164149330292,30
895,2-STORY 1946 & NEWER,Residential Low-Density,71,7056,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Above Average,Average,1963,1963,Hip,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,400,Unfinished,0,380,780,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,983,813,1796,1,1,4,1,Average/Typical,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1963,Rough Finished,2,483,Typical/Average,Typical/Average,Paved,0,50,0,0,0,No Fence,No Extra Feature,0,October 2008,Warranty Deed - Conventional,Normal Sale,140000,19.841269841269842,45
896,1-STORY 1945 & OLDER,Residential Medium Density,50,8765,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Iowa DOT and Rail Road,Normal,Below Average,Above Average,1936,1950,Gable,Standard (Composite) Shingle,Wood Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,285,Unfinished,0,666,951,Gas forced warm air furnace,Excellent,No,Standard Circuit Breakers & Romex,951,0,951,1,0,2,1,Average/Typical,6,0,No Fireplace,Detached from home,1936,Unfinished,1,327,Typical/Average,Typical/Average,Paved,0,28,0,0,0,No Fence,No Extra Feature,0,April 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",106500,12.150598973188819,70
897,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,64,7018,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,Adjacent to feeder street & Normal,Average,Average,1979,1979,Gable,Standard (Composite) Shingle,Plywood,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Exposure,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1120,1120,2240,2,0,6,2,Average/Typical,12,0,No Fireplace,Detached from home,1979,Unfinished,2,528,Typical/Average,Typical/Average,Paved,154,0,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Allocation - two linked properties with separate deeds,142953,20.369478483898547,30
898,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,100,12919,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,Normal,Excellent,Average,2009,2010,Hip,Standard (Composite) Shingle,Vinyl Siding,Excellent,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,2188,Unfinished,0,142,2330,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2364,0,2364,2,1,2,1,Excellent,11,2,Good - Masonry Fireplace on the main level,Attached to the home,2009,Finished,3,820,Typical/Average,Typical/Average,Paved,0,67,0,0,0,No Fence,No Extra Feature,0,March 2010,Home just constructed and sold,Home was not completed when last assessed,611657,47.345537580308076,1
899,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,65,6993,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Adjacent to feeder street & Normal,Average,Good,1961,1994,Gable,Standard (Composite) Shingle,Hard Board & Plywood,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,465,Unfinished,0,447,912,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1236,0,1236,1,0,3,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1961,Unfinished,1,288,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2006,Warranty Deed - Conventional,Normal Sale,135000,19.305019305019304,45
900,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,7340,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Below Average,Above Average,1971,1971,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,322,Unfinished,0,536,858,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,858,0,858,1,0,2,1,Average/Typical,4,0,No Fireplace,Detached from home,1979,Unfinished,1,684,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,110000,14.986376021798366,36
901,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,64,8712,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Good,1957,2000,Hip,Standard (Composite) Shingle,Metal Siding,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,860,Unfinished,0,132,992,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1306,0,1306,1,0,2,1,Average/Typical,5,0,No Fireplace,Detached from home,1968,Unfinished,1,756,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,May 2009,Warranty Deed - Conventional,Normal Sale,153000,17.56198347107438,52
902,2-STORY 1946 & NEWER,Residential Low-Density,63,7875,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,Normal,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,783,783,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,807,702,1509,2,1,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2003,Finished,2,393,Typical/Average,Typical/Average,Paved,0,75,0,0,0,No Fence,No Extra Feature,0,July 2006,Warranty Deed - Conventional,Normal Sale,180000,22.857142857142858,3
903,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,50,14859,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Cul-De-Sac,Gentle Slope,Gilbert,Normal,Good,Average,2006,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1670,1670,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1670,0,1670,2,0,3,1,Good,7,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,690,Typical/Average,Typical/Average,Paved,144,60,0,0,0,No Fence,No Extra Feature,0,August 2006,Home just constructed and sold,Home was not completed when last assessed,240000,16.151827175449224,0
904,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,6173,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,Normal,Average,Above Average,1967,1967,Gable,Standard (Composite) Shingle,Hard Board & Wood Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,599,Unfinished,0,277,876,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,902,0,902,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1967,Unfinished,1,288,Typical/Average,Typical/Average,Paved,0,0,0,0,0,Minimum Privacy,No Extra Feature,0,August 2007,Warranty Deed - Conventional,Normal Sale,125500,20.3304714077434,40
905,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9920,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,Normal,Average,Average,1954,1954,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,354,Low Quality,290,412,1056,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1063,0,1063,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1954,Rough Finished,1,280,Typical/Average,Typical/Average,Paved,0,0,164,0,0,Minimum Privacy,No Extra Feature,0,February 2010,Warranty Deed - Conventional,Normal Sale,128000,12.903225806451612,56
906,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,116,13501,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Somerset,Normal,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,63,Unfinished,0,1560,1623,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1636,0,1636,2,0,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2006,Rough Finished,3,865,Typical/Average,Typical/Average,Paved,0,60,0,0,0,No Fence,No Extra Feature,0,June 2007,Warranty Deed - Conventional,Normal Sale,255000,18.887489815569218,1
907,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,86,11500,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Crawford,Normal,Good,Good,1936,1987,Gable,Standard (Composite) Shingle,Brick Face,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,223,Unfinished,0,794,1017,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1020,1037,2057,1,1,3,1,Good,6,1,Good - Masonry Fireplace on the main level,Attached to the home,1936,Finished,1,180,Fair,Typical/Average,Paved,0,0,0,0,322,No Fence,No Extra Feature,0,June 2006,Warranty Deed - Conventional,Normal Sale,250000,21.73913043478261,70
908,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8885,Paved,No Alley Access,Slightly Irregular,Depression,All Public Utilities,Inside Plot,Moderate Slope,Mitchell,Normal,Average,Average,1983,1983,Gable,Standard (Composite) Shingle,Hard Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Below Average Living Quarters,301,Average Living Quarters,324,239,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,902,0,902,1,0,2,1,Average/Typical,5,0,No Fireplace,Attached to the home,1983,Unfinished,2,484,Typical/Average,Typical/Average,Paved,164,0,0,0,0,Minimum Privacy,No Extra Feature,0,June 2006,Warranty Deed - Conventional,Normal Sale,131000,14.743950478334272,23
909,2-STORY 1946 & NEWER,Residential Low-Density,149,12589,Paved,No Alley Access,Moderately Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,Normal,Above Average,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,742,742,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,742,742,1484,2,1,3,1,Good,8,1,Good - Masonry Fireplace on the main level,Attached to the home,2005,Finished,2,390,Typical/Average,Typical/Average,Paved,36,24,0,0,0,No Fence,No Extra Feature,0,June 2009,Warranty Deed - Conventional,Normal Sale,174000,13.82159027722615,4
910,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,80,11600,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Adjacent to feeder street & Normal,Average,Average,1960,1960,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,443,Unfinished,0,662,1105,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1105,1169,2274,2,0,5,2,Average/Typical,12,0,No Fireplace,Detached from home,1960,Unfinished,2,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,January 2010,Warranty Deed - Conventional,Normal Sale,154300,13.301724137931034,50
911,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9286,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Cul-De-Sac,Moderate Slope,College Creek,Normal,Average,Good,1977,1989,Gable,Standard (Composite) Shingle,Hard Board & Plywood,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Good,Average Exposure,Average Living Quarters,196,Unfinished,0,1072,1268,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1268,0,1268,1,1,3,1,Good,5,0,No Fireplace,Detached from home,1978,Unfinished,1,252,Typical/Average,Typical/Average,Paved,173,0,0,0,0,No Fence,No Extra Feature,0,October 2009,Warranty Deed - Conventional,Normal Sale,143500,15.453370665517983,32
912,1-STORY 1945 & OLDER,Residential Medium Density,51,6120,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Brookside,Normal,Average,Good,1925,1950,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,489,Unfinished,0,279,768,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,1015,0,1015,1,0,3,1,Average/Typical,6,0,No Fireplace,Detached from home,1925,Unfinished,1,450,Typical/Average,Typical/Average,Paved,0,0,112,0,120,Minimum Privacy,Shed (over 100 Square Feet),620,July 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",88000,14.379084967320262,81
913,DUPLEX - ALL STYLES AND AGES,Residential High-Density,82,6270,Paved,No Alley Access,Regular,Hillside,All Public Utilities,Inside Plot,Gentle Slope,Crawford,Normal,Average,Above Average,1949,1950,Gable,Standard (Composite) Shingle,Metal Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,284,Unfinished,0,717,1001,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),1001,1001,2002,2,0,4,2,Average/Typical,8,0,No Fireplace,More than one type of garage,1949,Unfinished,3,871,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,August 2007,Warranty Deed - Conventional,Normal Sale,145000,23.125996810207337,58
914,2-STORY PUD - 1946 & NEWER,Floating Village Residential,30,3000,Paved,Paved,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Somerset,Normal,Above Average,Average,2009,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living Quarters,294,Unfinished,0,318,612,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,612,612,1224,2,1,2,1,Good,4,0,No Fireplace,Detached from home,2009,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,234,0,0,0,No Fence,No Extra Feature,0,June 2009,Home just constructed and sold,Home was not completed when last assessed,173733,57.911,0
915,2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,2001,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Meadow Village,Normal,Below Average,Average,1970,1970,Gable,Standard (Composite) Shingle,Cement Board,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,546,546,Gas forced warm air furnace,Fair,Yes,Standard Circuit Breakers & Romex,546,546,1092,1,1,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1970,Unfinished,1,286,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,January 2007,Warranty Deed - Conventional,Normal Sale,75000,37.481259370314845,37
916,1-STORY 1946 & NEWER ALL STYLES,Commercial,50,9000,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Iowa DOT and Rail Road,Normal,Poor,Fair,1949,1950,Gable,Standard (Composite) Shingle,Asbestos Shingles,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Below Average Living Quarters,50,Unfinished,0,430,480,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),480,0,480,0,0,1,1,Average/Typical,4,0,No Fireplace,Detached from home,1958,Unfinished,1,308,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,October 2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",35311,3.9234444444444443,57
917,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,17140,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Edwards,Normal,Below Average,Above Average,1956,1956,Gable,Standard (Composite) Shingle,Vinyl Siding,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,1059,Unfinished,0,75,1134,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1229,0,1229,1,0,3,1,Average/Typical,6,0,No Fireplace,Attached to the home,1956,Rough Finished,1,284,Typical/Average,Typical/Average,Paved,0,0,0,0,0,No Fence,No Extra Feature,0,April 2009,Warranty Deed - Conventional,Normal Sale,135000,7.8763127187864646,53
918,2-STORY 1946 & NEWER,Residential Low-Density,103,13125,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer West,Normal,Good,Average,1991,1991,Gable,Standard (Composite) Shingle,Hard Board,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Below Average Living Quarters,48,Good Living Quarters,634,422,1104,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,912,1215,2127,2,1,4,1,Good,8,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1991,Rough Finished,3,833,Typical/Average,Typical/Average,Paved,72,192,224,0,0,Good Privacy,No Extra Feature,0,November 2007,Warranty Deed - Conventional,Normal Sale,238000,18.133333333333333,16
919,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,87,11029,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,Normal,Above Average,Very Good,1958,2002,Hip,Standard (Composite) Shingle,Metal Siding,Excellent,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,528,Below Average Living Quarters,411,245,1184,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1414,0,1414,1,0,3,1,Average/Typical,6,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1990,Unfinished,2,601,Typical/Average,Typical/Average,Paved,0,51,0,0,190,No Fence,No Extra Feature,0,May 2008,Warranty Deed - Conventional,Normal Sale,176500,16.00326412186055,50
